claim,required_reannotation,label,justification,claim_date,speaker,original_claim_url,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies,questions,cached_original_claim_url
The United States of America and its Western allies have been using their media outlets to publish articles based on fabricated information under allegations of non-compliance with the Chemical Weapons Convention.,FALSE,Refuted,Refuted by answer/source.,30/10/20,Syrian Arab News Agency (SANA),https://web.archive.org/web/20210415103410/https://sana.sy/en/?p=208083,https://web.archive.org/web/20210304003724/https://www.polygraph.info/a/assad-regime-groundlessly-claims-us-and-allies-are-lying-about-chemical-attacks/30938689.html,Syrian state media outlet,SY,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Has Syria complied with the Chemical Weapons Convention?', 'answers': [{'answer': 'No', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20210302193538/https://www.theguardian.com/world/2020/apr/06/report-set-to-blame-syria-chemical-attacks-on-bashar-al-assad', 'source_medium': 'Web text', 'boolean_explanation': '“Our research shows what Syrians on the ground have known for years: that chemical weapons have become a completely normalised component of the Syrian regime arsenal used for years in full view of the international community with near impunity,”', 'cached_source_url': 'https://web.archive.org/web/20210302193538/https://www.theguardian.com/world/2020/apr/06/report-set-to-blame-syria-chemical-attacks-on-bashar-al-assad'}]}]",https://web.archive.org/web/20210415103410/https://sana.sy/en/?p=208083
The U.S. surgeon general and the Centers for Disease Control both previously said that ‘masks are not effective in preventing [the] general public from catching coronavirus.’,FALSE,Conflicting Evidence/Cherrypicking,There is a 79% reduction made in certain situations. But not effective in certain other situations. ,29/10/20,Yinon Weiss,https://thefederalist.com/2020/10/29/these-12-graphs-show-mask-mandates-do-nothing-to-stop-covid/,https://web.archive.org/web/20210711073635/https://healthfeedback.org/claimreview/wearing-face-masks-helps-reduce-the-spread-of-covid-19-but-it-only-confers-partial-protection-and-should-be-combined-with-additional-public-health-measures/,The Federalist,US,['Quote Verification'],['Written Evidence'],"[{'question': 'Are masks effective in preventing people from catching coronavirus?', 'answers': [{'answer': 'The effectiveness of face masks is dependent on how they are used. Face mask use was 79% effective in reducing transmission in certain situations. But not effective in certain other situations.', 'answer_type': 'Extractive', 'source_url': 'https://dx.doi.org/10.1136/bmjgh-2020-002794', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230327113235/https://gh.bmj.com/content/5/5/e002794'}]}]",https://web.archive.org/web/20230327113113/https://thefederalist.com/2020/10/29/these-12-graphs-show-mask-mandates-do-nothing-to-stop-covid/
Wearing face masks will stop the spread of covid 19,FALSE,Supported,"From the question and answer pair it does indeed seem that face masks are useful in stopping the spread of covid19. Therefore, the claim is supported.",29/10/20,Yinon Weiss,https://thefederalist.com/2020/10/29/these-12-graphs-show-mask-mandates-do-nothing-to-stop-covid/,https://web.archive.org/web/20210711073635/https://healthfeedback.org/claimreview/wearing-face-masks-helps-reduce-the-spread-of-covid-19-but-it-only-confers-partial-protection-and-should-be-combined-with-additional-public-health-measures/,The Federalist,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Does a face mask prevent the spread of Covid 19?', 'answers': [{'answer': 'Cloth face coverings, even homemade masks made of the correct material, are effective in reducing the spread of COVID-19 - for the wearer and those around them - according to a new study from Oxford’s Leverhulme Centre for Demographic Science.', 'answer_type': 'Extractive', 'source_url': 'https://www.ox.ac.uk/news/2020-07-08-oxford-covid-19-study-face-masks-and-coverings-work-act-now', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324154557/https://www.ox.ac.uk/news/2020-07-08-oxford-covid-19-study-face-masks-and-coverings-work-act-now'}]}]",https://web.archive.org/web/20230327113113/https://thefederalist.com/2020/10/29/these-12-graphs-show-mask-mandates-do-nothing-to-stop-covid/
The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,TRUE,Refuted,"Evidence finds that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals. The CDC and the World Health Organization (WHO), at the time of the claim, also recommended cloth masks for the general public.",29/10/20,Yinon Weiss,https://thefederalist.com/2020/10/29/these-12-graphs-show-mask-mandates-do-nothing-to-stop-covid/,https://web.archive.org/web/20210711073635/https://healthfeedback.org/claimreview/wearing-face-masks-helps-reduce-the-spread-of-covid-19-but-it-only-confers-partial-protection-and-should-be-combined-with-additional-public-health-measures/,The Federalist,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Have any studies been done to show if masks help with Aerosol transmission ?', 'answers': [{'answer': 'Surgical face masks significantly reduced detection of influenza virus RNA in respiratory droplets and coronavirus RNA in aerosols, with a trend toward reduced detection of coronavirus RNA in respiratory droplets. Our results indicate that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals.', 'answer_type': 'Extractive', 'source_url': 'https://www.nature.com/articles/s41591-020-0843-2?error=cookies_not_supported&code=06c46169-a951-475f-84e1-3761c88a0a71', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230327114027/https://www.nature.com/articles/s41591-020-0843-2'}]}, {'question': ""Do any health body's recommend wearing a facemask to help slow down aerosol transmission of viruses at the time of the claim (2020)?"", 'answers': [{'answer': 'At of claim yes, the (CDC) and the World Health Organization now recommended cloth masks for the general public, but earlier in the pandemic, both organizations recommended just the opposite.', 'answer_type': 'Extractive', 'source_url': 'https://www.ucsf.edu/news/2020/06/417906/still-confused-about-masks-heres-science-behind-how-face-masks-prevent', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230327114052/https://www.ucsf.edu/news/2020/06/417906/still-confused-about-masks-heres-science-behind-how-face-masks-prevent'}]}]",https://web.archive.org/web/20230327113113/https://thefederalist.com/2020/10/29/these-12-graphs-show-mask-mandates-do-nothing-to-stop-covid/
Video shows attack of French embassy in Sudan,FALSE,Refuted,"It is the ""German"" embassy that was under attack in Sudan.",28/10/20,Anmol Alphonso,https://www.boomlive.in/fake-news/2012-embassy-attacks-in-sudan-falsely-shared-as-attack-on-french-embassy-10392,https://web.archive.org/web/20201128024341/https://www.boomlive.in/fake-news/2012-embassy-attacks-in-sudan-falsely-shared-as-attack-on-french-embassy-10392,,IN,['Quote Verification'],['Written Evidence'],"[{'question': 'When was the video taken', 'answers': [{'answer': 'The video was taken on 14th September 2012', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20220311134915/https://www.tagesspiegel.de/politik/proteste-gegen-anti-islam-film-demonstranten-setzen-deutsche-botschaft-im-sudan-in-brand/7132474.html', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20220311134915/https://www.tagesspiegel.de/politik/proteste-gegen-anti-islam-film-demonstranten-setzen-deutsche-botschaft-im-sudan-in-brand/7132474.html'}]}, {'question': 'Which embassy was being attacked in the video', 'answers': [{'answer': 'In Sudan, demonstrators stormed the German embassy and set it on fire in a bloody protest against an Islam-critical abusive video', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20220311134915/https://www.tagesspiegel.de/politik/proteste-gegen-anti-islam-film-demonstranten-setzen-deutsche-botschaft-im-sudan-in-brand/7132474.html', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20220311134915/https://www.tagesspiegel.de/politik/proteste-gegen-anti-islam-film-demonstranten-setzen-deutsche-botschaft-im-sudan-in-brand/7132474.html'}]}]",https://web.archive.org/web/20230327114437/https://www.boomlive.in/fake-news/2012-embassy-attacks-in-sudan-falsely-shared-as-attack-on-french-embassy-10392
Sleeping under a mosquito bed net treated (or not treated) with insecticide is ineffective and harmful to human health.,FALSE,Refuted,Sleeping under a mosquito net is effective in preventing man-vector contact,26/10/20,,https://vikaspedia.in/health/diseases/vector-borne-diseases/treatment-and-use-of-insecticide-treated-mosquito-nets,https://web.archive.org/web/20210212042422/https://dubawa.org/some-people-believe-sleeping-under-insecticide-treated-bed-net-is-harmful-but-how-true-is-this/,Vikaspedia,NG,"['Causal Claim', 'Event/Property Claim']","['Written Evidence', 'Consultation']","[{'question': 'Is sleeping under a mosquito bed net effective?', 'answers': [{'answer': 'Sleeping under a bed net reduces the risk of man-vector contact as mosquitoes bite at night and is thus an effective preventive measure.', 'answer_type': 'Extractive', 'source_url': 'http://vikaspedia.in/health/diseases/vector-borne-diseases/treatment-and-use-of-insecticide-treated-mosquito-nets', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324150710/https://vikaspedia.in/health/diseases/vector-borne-diseases/treatment-and-use-of-insecticide-treated-mosquito-nets'}]}, {'question': 'Is sleeping under a mosquito bed harmful to human health?', 'answers': [{'answer': 'Insecticides used for mosquito nets are not harmful to people, if used correctly. Direct skin contact with the insecticide on a still wet net may cause a tingling sensation on the skin. This is not harmful, even for small children.', 'answer_type': 'Extractive', 'source_url': 'http://vikaspedia.in/health/diseases/vector-borne-diseases/treatment-and-use-of-insecticide-treated-mosquito-nets', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324150710/https://vikaspedia.in/health/diseases/vector-borne-diseases/treatment-and-use-of-insecticide-treated-mosquito-nets'}]}]",https://web.archive.org/web/20230324150710/https://vikaspedia.in/health/diseases/vector-borne-diseases/treatment-and-use-of-insecticide-treated-mosquito-nets
"Paul Pogba, who plays for Manchester United and the French national team, retired from international football in response to French President Macron’s comments on Islamist terrorism.",FALSE,Refuted,Denied by Pogba.,26/10/20,,https://www.195sports.com/%D8%A8%D9%88%D9%84-%D8%A8%D9%88%D8%AC%D8%A8%D8%A7-%D9%8A%D8%B9%D8%AA%D8%B2%D9%84-%D8%A7%D9%84%D9%84%D8%B9%D8%A8-%D8%AF%D9%88%D9%84%D9%8A%D9%8B%D8%A7-%D8%A8%D8%B9%D8%AF-%D9%85%D8%A7-%D8%AD%D8%AF%D8%AB/?utm_campaign=nabdapp.com&utm_medium=referral&utm_source=nabdapp.com&ocid=Nabd_App,https://web.archive.org/web/20201101025121/https://newsmeter.in/fact-check-paul-pogba-did-not-quit-french-football-team-after-president-macrons-remarks-on-islam/,The Sun ,GB,['Causal Claim'],"['Written Evidence', 'Fact-checker Reference']","[{'question': 'Did paul Pogba comment on the claim?', 'answers': [{'answer': 'I am appalled, angry, shocked and some ‘media’ sources use me to make total fake headlines in the sensible subject of French current events and adding my religion and the French National Team to the pot,” Pogba posted on Instagram.\n\n“I am taking legal action against the publishers and spreaders of these 100% Fake News,” he added.', 'answer_type': 'Extractive', 'source_url': 'https://punchng.com/pogba-denies-quitting-france-team-over-macrons-comment/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324151028/https://punchng.com/pogba-denies-quitting-france-team-over-macrons-comment/'}]}]",https://web.archive.org/web/20230327115549/https://195sports.com/%D8%A8%D9%88%D9%84-%D8%A8%D9%88%D8%AC%D8%A8%D8%A7-%D9%8A%D8%B9%D8%AA%D8%B2%D9%84-%D8%A7%D9%84%D9%84%D8%B9%D8%A8-%D8%AF%D9%88%D9%84%D9%8A%D9%8B%D8%A7-%D8%A8%D8%B9%D8%AF-%D9%85%D8%A7-%D8%AD%D8%AF%D8%AB/?ocid=Nabd_App
The New York post Endorsed Donald trumps bid for re-election.,FALSE,Supported,Claim is correct,26/10/20,,https://web.archive.org/web/20210119183455/https://nypost.com/2020/10/26/the-new-york-post-endorses-president-donald-j-trump-for-re-election/,https://web.archive.org/web/20210122015529/https://www.usatoday.com/story/news/factcheck/2020/12/29/fact-check-ny-post-encourages-trump-accept-bidens-victory/4075001001/,New York Post,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Was Donald Trump endorsed by the New York Post for reelection', 'answers': [{'answer': 'The New York Post endorses President Donald J. Trump for re-election.', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210119183455/https://nypost.com/2020/10/26/the-new-york-post-endorses-president-donald-j-trump-for-re-election/', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210119183455/https://nypost.com/2020/10/26/the-new-york-post-endorses-president-donald-j-trump-for-re-election/'}]}]",https://web.archive.org/web/20210119183455/https://nypost.com/2020/10/26/the-new-york-post-endorses-president-donald-j-trump-for-re-election/
"Hunter Biden, son of US President Joe Biden has died.",FALSE,Refuted,The second answer shows that Hunter Biden is still alive and therefore the claim is refuted.,25/10/20,,https://web.archive.org/web/20210116153238/https://media.thedonald.win/post/H3A2atAb.png,https://web.archive.org/web/20210116153238/https://leadstories.com/hoax-alert/2020/10/fact-check-no-evidence-that-hunter-biden-is-dead.html,4chan,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'When was this claim made?', 'answers': [{'answer': '25/10/2020', 'answer_type': 'Extractive', 'source_url': 'Metadata', 'source_medium': 'Metadata', 'cached_source_url': 'Metadata'}]}, {'question': 'Is Hunter Biden dead?', 'answers': [{'answer': 'No', 'answer_type': 'Boolean', 'source_url': 'https://it.wikipedia.org/wiki/Hunter_Biden', 'source_medium': 'Web text', 'boolean_explanation': 'He is still alive.', 'cached_source_url': 'https://web.archive.org/web/20230324154230/https://it.wikipedia.org/wiki/Hunter_Biden'}]}]",https://web.archive.org/web/20210116153238/https://media.thedonald.win/post/H3A2atAb.png
Deliberately infecting children to COVID-19 at “pox parties” could be a good way to help create herd immunity against COVID-19 without a vaccine.,FALSE,Refuted,"It is clear that Pox parties are not considered a good idea, and are not recommended by experts, so the claim is refuted. ",23/10/20,Professor Paul Lehner,https://web.archive.org/web/20201201202446/https://www.dailymail.co.uk/news/article-8868269/Controversial-pox-parties-used-build-immunity-Covid-19-scientist-says.html,https://web.archive.org/web/20201201202446/https://www.covid19facts.ca/en/fact-checked/achieving-natural-herd-immunity-against-covid-19-cannot-be-safely-or-easily-done,Daily Mail,GB,['Causal Claim'],['Written Evidence'],"[{'question': 'Are pox parties recommended by the CDC', 'answers': [{'answer': 'CDC strongly recommends against hosting or participating in these events', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20201125111456/https://www.cdc.gov/chickenpox/about/transmission.html', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20201125111456/https://www.cdc.gov/chickenpox/about/transmission.html'}]}, {'question': 'What are the adverse effects of infecting children with COVID-19', 'answers': [{'answer': 'A complication that has more recently been observed in children can be severe and dangerous. Called multisystem inflammatory syndrome in children (MIS-C), it can lead to life-threatening problems with the heart and other organs in the body. Early reports compare it to Kawasaki disease, an inflammatory illness that can lead to heart problems', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20201202080005/https://www.health.harvard.edu/diseases-and-conditions/coronavirus-outbreak-and-kids', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20201202080005/https://www.health.harvard.edu/diseases-and-conditions/coronavirus-outbreak-and-kids'}]}, {'question': 'Is herd immunity a risk worth taking', 'answers': [{'answer': 'Scientists refer to herd immunity as a dangerous fallacy that is unsupported by scientific evidence', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20201201224234/https://secure.jbs.elsevierhealth.com/action/consumeSsoCookie?redirectUri=https%3A%2F%2Fwww.thelancet.com%2Faction%2FconsumeSharedSessionAction%3FSERVER%3DWZ6myaEXBLF%252B9vQ18y9JMw%253D%253D%26MAID%3DTSoTVMTupZ%252FD37sdGKDXfw%253D%253D%26JSESSIONID%3DaaadVfLNuRc7B8uvBTFyx%26ORIGIN%3D412177833%26RD%3DRD&code=null&acw=Secure;SameSite=None&utt=', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20201201224234/https://secure.jbs.elsevierhealth.com/action/consumeSsoCookie?redirectUri=https%3A%2F%2Fwww.thelancet.com%2Faction%2FconsumeSharedSessionAction%3FSERVER%3DWZ6myaEXBLF%252B9vQ18y9JMw%253D%253D%26MAID%3DTSoTVMTupZ%252FD37sdGKDXfw%253D%253D%26JSESSIONID%3DaaadVfLNuRc7B8uvBTFyx%26ORIGIN%3D412177833%26RD%3DRD&code=null&acw=Secure;SameSite=None&utt='}]}]",https://web.archive.org/web/20201201202446/https://www.dailymail.co.uk/news/article-8868269/Controversial-pox-parties-used-build-immunity-Covid-19-scientist-says.html
